Name: Route de la Seine à la Butte Mortemart, Instruction: Head west on Route de la Seine à la Butte Mortemart, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Keep right, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.4 seconds
Name: Avenue Charles de Gaulle, D 2, Instruction: Turn right onto Avenue Charles de Gaulle, D 2, Distance: 265.2 meters, Time: 190.9 seconds
Name: Rue du Parchamp, Instruction: Turn sharp right onto Rue du Parchamp, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn slight left, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn slight right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 74.8 meters, Time: 53.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight left, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Keep right, Distance: 579.0 meters, Time: 416.9 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 196.6 meters, Time: 141.5 seconds
Name: Grand Place, Instruction: Turn left onto Grand Place, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
