Name: Rue Montmartre, Instruction: Head north on Rue Montmartre, Distance: 299.5 meters, Time: 215.7 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Keep right, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Keep right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Keep left, Distance: 128.6 meters, Time: 92.6 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 117.7 meters, Time: 84.7 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 110.7 meters, Time: 79.7 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight right, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Keep right, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn slight left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Keep left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 82.0 meters, Time: 59.1 seconds
Name: Rue de la Michodière, Instruction: Turn right onto Rue de la Michodière, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Turn left, Distance: 43.0 meters, Time: 30.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
