Name: Norrie Smith Avenue, Instruction: Head south on Norrie Smith Avenue, Distance: 137.9 meters, Time: 99.3 seconds
Name: Dosina Place, Instruction: Turn left onto Dosina Place, Distance: 117.4 meters, Time: 84.5 seconds
Name: -, Instruction: Turn slight right, Distance: 93.5 meters, Time: 67.3 seconds
Name: Penion Drive, Instruction: Turn left onto Penion Drive, Distance: 197.1 meters, Time: 141.9 seconds
Name: Belinda Avenue, Instruction: Turn right onto Belinda Avenue, Distance: 95.6 meters, Time: 68.9 seconds
Name: Belinda Avenue, Instruction: Keep left onto Belinda Avenue, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Keep right, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.8 seconds
Name: -, Instruction: Turn slight left, Distance: 28.6 meters, Time: 20.6 seconds
Name: Whetstone Road, Instruction: Turn right onto Whetstone Road, Distance: 105.3 meters, Time: 75.8 seconds
Name: Medvale Avenue, Instruction: Enter the roundabout and take the 1st exit onto Medvale Avenue, Distance: 307.3 meters, Time: 221.2 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 20.8 meters, Time: 14.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
