Name: 豊水橋通り, Instruction: Head northwest on 豊水橋通り, Distance: 60.6 meters, Time: 43.6 seconds
Name: 元本郷通り, Instruction: Turn left onto 元本郷通り, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.5 seconds
Name: -, Instruction: Continue straight, Distance: 91.4 meters, Time: 65.8 seconds
Name: 本一通り, Instruction: Turn right onto 本一通り, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 45.8 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 124.9 meters, Time: 90.0 seconds
Name: -, Instruction: Turn right, Distance: 346.4 meters, Time: 249.4 seconds
Name: -, Instruction: Keep right, Distance: 92.7 meters, Time: 66.7 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn slight left, Distance: 61.3 meters, Time: 44.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
