Name: Winners Circle, Instruction: Head north on Winners Circle, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 183.8 meters, Time: 132.4 seconds
Name: Kingston Road, Instruction: Turn sharp right onto Kingston Road, Distance: 5.6 meters, Time: 4.1 seconds
Name: Penny Lane, Instruction: Turn left onto Penny Lane, Distance: 126.4 meters, Time: 91.0 seconds
Name: Orchard Park Boulevard, Instruction: Turn left onto Orchard Park Boulevard, Distance: 55.5 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Keep left, Distance: 135.1 meters, Time: 97.3 seconds
Name: -, Instruction: Turn slight left, Distance: 183.4 meters, Time: 132.1 seconds
Name: -, Instruction: Turn right, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Keep right, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 166.5 meters, Time: 119.9 seconds
Name: -, Instruction: Keep left, Distance: 183.4 meters, Time: 132.0 seconds
Name: Hertle Avenue, Instruction: Turn right onto Hertle Avenue, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Arrive at Hertle Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
