Name: Tram Valley Road, Instruction: Head northeast on Tram Valley Road, Distance: 16.9 meters, Time: 12.2 seconds
Name: Kātote Avenue, Instruction: Turn right onto Kātote Avenue, Distance: 315.7 meters, Time: 227.3 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: Christian Road, Instruction: Turn right onto Christian Road, Distance: 60.8 meters, Time: 43.8 seconds
Name: Mettam Drive, Instruction: Continue straight onto Mettam Drive, Distance: 381.3 meters, Time: 274.5 seconds
Name: -, Instruction: Turn right, Distance: 382.8 meters, Time: 275.6 seconds
Name: -, Instruction: Turn right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn slight right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 240.2 meters, Time: 173.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
