Name: Tutzinger Straße, Instruction: Head west on Tutzinger Straße, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Turn right, Distance: 432.2 meters, Time: 311.2 seconds
Name: -, Instruction: Turn right, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 54.6 meters, Time: 39.3 seconds
Name: Klingerstraße, Instruction: Turn right onto Klingerstraße, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Arrive at Klingerstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
