Name: Riesheimerstraße, Instruction: Head north on Riesheimerstraße, Distance: 183.5 meters, Time: 132.1 seconds
Name: -, Instruction: Turn right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn slight right, Distance: 179.7 meters, Time: 129.4 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Keep left, Distance: 73.1 meters, Time: 52.6 seconds
Name: -, Instruction: Keep left, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Turn slight left, Distance: 424.7 meters, Time: 305.7 seconds
Name: -, Instruction: Keep right, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Turn slight left, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Keep right, Distance: 209.6 meters, Time: 150.9 seconds
Name: -, Instruction: Keep right, Distance: 229.3 meters, Time: 165.1 seconds
Name: -, Instruction: Keep right, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Keep left, Distance: 169.4 meters, Time: 122.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Continue straight, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
