Name: Rue Émile Deutsch de la Meurthe, Instruction: Head north on Rue Émile Deutsch de la Meurthe, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 346.1 meters, Time: 249.2 seconds
Name: -, Instruction: Turn left, Distance: 662.2 meters, Time: 476.8 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.5 seconds
Name: -, Instruction: Keep left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Keep right, Distance: 247.1 meters, Time: 177.9 seconds
Name: -, Instruction: Keep right, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn slight left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Keep left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Keep left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn slight left, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: Place Denfert-Rochereau, Instruction: Turn right onto Place Denfert-Rochereau, Distance: 12.8 meters, Time: 9.2 seconds
Name: Boulevard Raspail, Instruction: Continue straight onto Boulevard Raspail, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Arrive at Boulevard Raspail, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
