Name: Oskar-von-Miller-Straße, Instruction: Head northeast on Oskar-von-Miller-Straße, Distance: 30.0 meters, Time: 21.6 seconds
Name: Lohestraße, Instruction: Turn left onto Lohestraße, Distance: 304.0 meters, Time: 218.9 seconds
Name: Sommerstraße, Instruction: Turn left onto Sommerstraße, Distance: 73.9 meters, Time: 53.2 seconds
Name: Albert-Schweitzer-Straße, Instruction: Turn right onto Albert-Schweitzer-Straße, Distance: 401.1 meters, Time: 288.8 seconds
Name: Albert-Schweitzer-Straße, Instruction: Continue straight onto Albert-Schweitzer-Straße, Distance: 929.9 meters, Time: 669.5 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: Minnewitstraße, Instruction: Turn left onto Minnewitstraße, Distance: 119.3 meters, Time: 85.9 seconds
Name: -, Instruction: Turn left, Distance: 123.7 meters, Time: 89.1 seconds
Name: -, Instruction: Turn slight right, Distance: 8.6 meters, Time: 6.2 seconds
Name: Pennstraße, Instruction: Turn left onto Pennstraße, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Arrive at Pennstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
