Name: Oak Street, Instruction: Head west on Oak Street, Distance: 8.6 meters, Time: 6.2 seconds
Name: Sumach Street, Instruction: Turn left onto Sumach Street, Distance: 409.6 meters, Time: 294.9 seconds
Name: -, Instruction: Turn right, Distance: 211.0 meters, Time: 152.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: Sackville Street, Instruction: Turn left onto Sackville Street, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 168.4 meters, Time: 121.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
