Name: Rue de l'Amiral Mouchez, Instruction: Head north on Rue de l'Amiral Mouchez, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 117.3 meters, Time: 84.4 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 118.7 meters, Time: 85.4 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 117.5 meters, Time: 84.6 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue Auguste Lançon, Instruction: Turn right onto Rue Auguste Lançon, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue Brillat-Savarin, Instruction: Turn left onto Rue Brillat-Savarin, Distance: 7.9 meters, Time: 5.7 seconds
Name: Rue Vergniaud, Instruction: Turn right onto Rue Vergniaud, Distance: 1129.3 meters, Time: 813.1 seconds
Name: Rue Vulpian, Instruction: Keep right onto Rue Vulpian, Distance: 14.3 meters, Time: 10.3 seconds
Name: Rue Corvisart, Instruction: Turn left onto Rue Corvisart, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 306.1 meters, Time: 220.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rue Pascal, Instruction: Turn sharp right onto Rue Pascal, Distance: 15.2 meters, Time: 10.9 seconds
Name: Rue Pascal, Instruction: Continue straight onto Rue Pascal, Distance: 232.4 meters, Time: 167.3 seconds
Name: -, Instruction: Arrive at Rue Pascal, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
