Name: Pōnui Place, Instruction: Head northeast on Pōnui Place, Distance: 83.7 meters, Time: 60.3 seconds
Name: Maxwelton Drive, Instruction: Turn left onto Maxwelton Drive, Distance: 276.7 meters, Time: 199.2 seconds
Name: Mayfair Crescent, Instruction: Turn left onto Mayfair Crescent, Distance: 113.3 meters, Time: 81.5 seconds
Name: -, Instruction: Turn right, Distance: 129.5 meters, Time: 93.3 seconds
Name: Galaxy Drive, Instruction: Turn left onto Galaxy Drive, Distance: 203.3 meters, Time: 146.4 seconds
Name: Matipo Road, Instruction: Turn right onto Matipo Road, Distance: 172.9 meters, Time: 124.5 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 156.2 meters, Time: 112.5 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 368.5 meters, Time: 265.3 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
