Name: Allée des Rhododendrons, Instruction: Head northeast on Allée des Rhododendrons, Distance: 39.6 meters, Time: 28.5 seconds
Name: Allée des Pins, Instruction: Turn left onto Allée des Pins, Distance: 370.2 meters, Time: 266.6 seconds
Name: Allée des Pins, Instruction: Continue straight onto Allée des Pins, Distance: 114.6 meters, Time: 82.5 seconds
Name: Allée des Pins, Instruction: Continue straight onto Allée des Pins, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: Avenue des Minimes, Instruction: Turn left onto Avenue des Minimes, Distance: 32.5 meters, Time: 23.4 seconds
Name: Cours des Maréchaux, Instruction: Turn right onto Cours des Maréchaux, Distance: 31.8 meters, Time: 22.9 seconds
Name: Cours des Maréchaux, Instruction: Turn left onto Cours des Maréchaux, Distance: 19.2 meters, Time: 13.8 seconds
Name: Cours des Maréchaux, Instruction: Turn right onto Cours des Maréchaux, Distance: 193.5 meters, Time: 139.3 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 163.4 meters, Time: 117.7 seconds
Name: -, Instruction: Keep left, Distance: 123.7 meters, Time: 89.0 seconds
Name: -, Instruction: Keep right, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Keep left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight right, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
