Name: Alpha Grove, Instruction: Head north on Alpha Grove, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: Bosun Close, Instruction: Turn right onto Bosun Close, Distance: 51.7 meters, Time: 37.2 seconds
Name: Byng Street, Instruction: Turn left onto Byng Street, Distance: 14.7 meters, Time: 10.6 seconds
Name: Manilla Street, Instruction: Turn right onto Manilla Street, Distance: 51.1 meters, Time: 36.8 seconds
Name: Lenanton Steps, Instruction: Turn right onto Lenanton Steps, Distance: 32.0 meters, Time: 23.0 seconds
Name: Marsh Wall, Instruction: Turn left onto Marsh Wall, Distance: 281.1 meters, Time: 202.4 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 77.3 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: Mackenzie Walk, Instruction: Turn slight right onto Mackenzie Walk, Distance: 83.1 meters, Time: 59.9 seconds
Name: -, Instruction: Turn slight right, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
