Name: Rua Hugo Leal, Instruction: Head northwest on Rua Hugo Leal, Distance: 271.9 meters, Time: 195.8 seconds
Name: -, Instruction: Keep right, Distance: 15.4 meters, Time: 11.1 seconds
Name: Rua Bocaiúva, Instruction: Turn right onto Rua Bocaiúva, Distance: 96.7 meters, Time: 69.6 seconds
Name: Estrada do Galeão, Instruction: Turn sharp left onto Estrada do Galeão, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 32.5 meters, Time: 23.4 seconds
Name: Estrada do Galeão, Instruction: Turn left onto Estrada do Galeão, Distance: 107.8 meters, Time: 77.6 seconds
Name: Entrada do Assai, Instruction: Turn right onto Entrada do Assai, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 236.7 meters, Time: 170.4 seconds
Name: Rua Luís Sá, Instruction: Turn sharp left onto Rua Luís Sá, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
