Name: Superior Avenue, Instruction: Head west on Superior Avenue, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 441.5 meters, Time: 317.9 seconds
Name: -, Instruction: Turn slight left, Distance: 828.0 meters, Time: 596.2 seconds
Name: -, Instruction: Turn left, Distance: 347.4 meters, Time: 250.1 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn left, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn right, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 69.0 meters, Time: 49.6 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn right, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
