Name: Berner Straße, Instruction: Head northeast on Berner Straße, Distance: 205.7 meters, Time: 148.1 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Keep right, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: Züricher Straße, Instruction: Turn left onto Züricher Straße, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 467.4 meters, Time: 336.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 153.0 meters, Time: 110.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
