Name: Wilhelm-Kuhnert-Straße, Instruction: Head southeast on Wilhelm-Kuhnert-Straße, Distance: 70.7 meters, Time: 50.9 seconds
Name: -, Instruction: Turn right, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Turn left, Distance: 144.6 meters, Time: 104.1 seconds
Name: -, Instruction: Keep left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 118.4 meters, Time: 85.2 seconds
Name: Harlachinger Straße, Instruction: Turn left onto Harlachinger Straße, Distance: 408.9 meters, Time: 294.4 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.8 seconds
Name: Kurzstraße, Instruction: Continue straight onto Kurzstraße, Distance: 65.2 meters, Time: 47.0 seconds
Name: Reichenhaller Straße, Instruction: Turn left onto Reichenhaller Straße, Distance: 264.7 meters, Time: 190.6 seconds
Name: Sankt-Zeno-Weg, Instruction: Turn right onto Sankt-Zeno-Weg, Distance: 91.0 meters, Time: 65.5 seconds
Name: Grünwalder Straße, Instruction: Turn left onto Grünwalder Straße, Distance: 64.5 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 244.6 meters, Time: 176.1 seconds
Name: Wettersteinplatz, Instruction: Turn right onto Wettersteinplatz, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Arrive at Wettersteinplatz, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
