Name: Chandler Lane, Instruction: Head east on Chandler Lane, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 308.6 meters, Time: 222.2 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 407.6 meters, Time: 293.4 seconds
Name: -, Instruction: Turn right, Distance: 130.5 meters, Time: 94.0 seconds
Name: -, Instruction: Keep left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 525.4 meters, Time: 378.3 seconds
Name: -, Instruction: Keep left, Distance: 314.6 meters, Time: 226.5 seconds
Name: Mabel Street, Instruction: Turn left onto Mabel Street, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at Mabel Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
