Name: Boulevard Haussmann, Instruction: Head west on Boulevard Haussmann, Distance: 37.6 meters, Time: 27.1 seconds
Name: Rue de Berri, Instruction: Keep left onto Rue de Berri, Distance: 21.3 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 187.3 meters, Time: 134.8 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Keep left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn slight left, Distance: 420.9 meters, Time: 303.0 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: Promenade des Champs-Élysées, Instruction: Turn right onto Promenade des Champs-Élysées, Distance: 44.5 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Rue de Bassano, Instruction: Turn left onto Rue de Bassano, Distance: 40.1 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
