Name: شارع رؤوف رأفت, Instruction: Head west on شارع رؤوف رأفت, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Keep right, Distance: 40.7 meters, Time: 29.3 seconds
Name: شارع بدوي سعفان, Instruction: Turn slight right onto شارع بدوي سعفان, Distance: 28.3 meters, Time: 20.4 seconds
Name: شارع بدوي سعفان, Instruction: Continue straight onto شارع بدوي سعفان, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Keep right, Distance: 35.0 meters, Time: 25.2 seconds
Name: شارع دكتور حسين بيكار, Instruction: Turn slight right onto شارع دكتور حسين بيكار, Distance: 192.6 meters, Time: 138.7 seconds
Name: -, Instruction: Turn right, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Turn left, Distance: 121.3 meters, Time: 87.3 seconds
Name: طريق الشباب, Instruction: Turn left onto طريق الشباب, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: طريق الشباب, Instruction: Enter the roundabout and take the 2nd exit onto طريق الشباب, Distance: 148.0 meters, Time: 106.6 seconds
Name: -, Instruction: Turn right, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Turn left, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Turn right, Distance: 341.1 meters, Time: 245.6 seconds
Name: -, Instruction: Turn right, Distance: 64.8 meters, Time: 46.7 seconds
Name: شارع الورش, Instruction: Turn left onto شارع الورش, Distance: 461.1 meters, Time: 332.0 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: شارع الورش, Instruction: Turn left onto شارع الورش, Distance: 154.3 meters, Time: 111.1 seconds
Name: شارع احمد عبد العليم عبد الله, Instruction: Turn right onto شارع احمد عبد العليم عبد الله, Distance: 175.5 meters, Time: 126.4 seconds
Name: شارع يوسف السباعى, Instruction: Turn left onto شارع يوسف السباعى, Distance: 13.9 meters, Time: 10.0 seconds
Name: شارع احمد عبد العليم عبد الله, Instruction: Turn right onto شارع احمد عبد العليم عبد الله, Distance: 129.0 meters, Time: 92.9 seconds
Name: -, Instruction: Arrive at شارع احمد عبد العليم عبد الله, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
