Name: Penzoltstraße, Instruction: Head south on Penzoltstraße, Distance: 132.7 meters, Time: 95.6 seconds
Name: -, Instruction: Turn left, Distance: 85.2 meters, Time: 61.4 seconds
Name: Haldenbergerstraße, Instruction: Turn left onto Haldenbergerstraße, Distance: 963.2 meters, Time: 693.5 seconds
Name: Moosstraße, Instruction: Turn left onto Moosstraße, Distance: 55.3 meters, Time: 39.8 seconds
Name: Allacher Straße, Instruction: Turn right onto Allacher Straße, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 520.3 meters, Time: 374.6 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: Warschauer Straße, Instruction: Turn left onto Warschauer Straße, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Keep right, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Keep left, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Turn left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
