Name: Maea Lane, Instruction: Head southeast on Maea Lane, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn right, Distance: 72.1 meters, Time: 51.9 seconds
Name: Gordon Alexander Lane, Instruction: Turn left onto Gordon Alexander Lane, Distance: 125.2 meters, Time: 90.1 seconds
Name: Kallu Crescent, Instruction: Turn left onto Kallu Crescent, Distance: 14.6 meters, Time: 10.5 seconds
Name: Kōtero Road, Instruction: Turn right onto Kōtero Road, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Balfron Avenue, Instruction: Turn right onto Balfron Avenue, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Arrive at Balfron Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
