Name: Rudolf-Gütlein-Weg, Instruction: Head northwest on Rudolf-Gütlein-Weg, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 42.9 meters, Time: 30.9 seconds
Name: Matthissonstraße, Instruction: Turn right onto Matthissonstraße, Distance: 93.1 meters, Time: 67.0 seconds
Name: -, Instruction: Turn left, Distance: 104.8 meters, Time: 75.4 seconds
Name: Ulfilasstraße, Instruction: Turn slight left onto Ulfilasstraße, Distance: 373.0 meters, Time: 268.5 seconds
Name: Mainstraße, Instruction: Turn slight right onto Mainstraße, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn slight left, Distance: 60.5 meters, Time: 43.6 seconds
Name: Wendelsteinstraße, Instruction: Turn right onto Wendelsteinstraße, Distance: 6.2 meters, Time: 4.5 seconds
Name: Floriansanger, Instruction: Turn left onto Floriansanger, Distance: 163.2 meters, Time: 117.5 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 80.5 meters, Time: 57.9 seconds
Name: -, Instruction: Keep left, Distance: 390.6 meters, Time: 281.2 seconds
Name: Ilmstraße, Instruction: Keep right onto Ilmstraße, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Keep left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Äußere Hauptstraße, St 2078, Instruction: Turn right onto Äußere Hauptstraße, St 2078, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
