Name: Aspiring Avenue, Instruction: Head west on Aspiring Avenue, Distance: 271.4 meters, Time: 195.4 seconds
Name: Rakaia Rise, Instruction: Turn left onto Rakaia Rise, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 467.6 meters, Time: 336.7 seconds
Name: Hollyford Drive, Instruction: Turn right onto Hollyford Drive, Distance: 18.2 meters, Time: 13.1 seconds
Name: Redoubt Road, Instruction: Turn slight right onto Redoubt Road, Distance: 486.5 meters, Time: 350.3 seconds
Name: Redoubt Road, Instruction: Keep left onto Redoubt Road, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 216.9 meters, Time: 156.2 seconds
Name: -, Instruction: Turn right, Distance: 118.4 meters, Time: 85.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
