Name: Wartburgplatz, Instruction: Head west on Wartburgplatz, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 96.7 meters, Time: 69.6 seconds
Name: Eisenacher Straße, Instruction: Turn right onto Eisenacher Straße, Distance: 13.9 meters, Time: 10.0 seconds
Name: Tristanstraße, Instruction: Turn left onto Tristanstraße, Distance: 279.4 meters, Time: 201.2 seconds
Name: Parzivalstraße, Instruction: Turn right onto Parzivalstraße, Distance: 126.6 meters, Time: 91.1 seconds
Name: Isoldenstraße, Instruction: Turn left onto Isoldenstraße, Distance: 12.1 meters, Time: 8.7 seconds
Name: Parzivalstraße, Instruction: Turn right onto Parzivalstraße, Distance: 313.4 meters, Time: 225.6 seconds
Name: Parzivalstraße, Instruction: Keep left onto Parzivalstraße, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Continue straight, Distance: 38.6 meters, Time: 27.8 seconds
Name: Kölner Platz, Instruction: Turn right onto Kölner Platz, Distance: 194.1 meters, Time: 139.8 seconds
Name: Prinz-Eugen-Straße, Instruction: Turn right onto Prinz-Eugen-Straße, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 201.7 meters, Time: 145.2 seconds
Name: -, Instruction: Turn right, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: Belgradstraße, Instruction: Keep right onto Belgradstraße, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
