Name: Tusculum Road, Instruction: Head west on Tusculum Road, Distance: 8.8 meters, Time: 6.3 seconds
Name: Currawong Avenue, Instruction: Turn left onto Currawong Avenue, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 573.3 meters, Time: 412.8 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 1095.9 meters, Time: 789.0 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Continue straight, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
