Name: Grey Avenue, Instruction: Head north on Grey Avenue, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 676.2 meters, Time: 486.8 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.6 seconds
Name: Raats Drive, Instruction: Turn right onto Raats Drive, Distance: 88.1 meters, Time: 63.5 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 174.7 meters, Time: 125.8 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 176.3 meters, Time: 126.9 seconds
Name: -, Instruction: Turn right, Distance: 40.2 meters, Time: 28.9 seconds
Name: Erica Road, Instruction: Turn left onto Erica Road, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn right, Distance: 514.7 meters, Time: 370.6 seconds
Name: Link Road, Instruction: Turn right onto Link Road, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Arrive at Link Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
