Name: Max-Diamand-Straße, Instruction: Head west on Max-Diamand-Straße, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 70.9 meters, Time: 51.0 seconds
Name: Schleißheimer Straße, Instruction: Turn right onto Schleißheimer Straße, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: Schleißheimer Straße, Instruction: Turn right onto Schleißheimer Straße, Distance: 63.1 meters, Time: 45.5 seconds
Name: -, Instruction: Turn left, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 502.8 meters, Time: 362.0 seconds
Name: -, Instruction: Keep right, Distance: 9.0 meters, Time: 6.5 seconds
Name: Detmoldstraße, Instruction: Keep left onto Detmoldstraße, Distance: 85.6 meters, Time: 61.6 seconds
Name: Lemgostraße, Instruction: Turn slight right onto Lemgostraße, Distance: 269.0 meters, Time: 193.7 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: Thaddäus-Robl-Straße, Instruction: Turn left onto Thaddäus-Robl-Straße, Distance: 237.3 meters, Time: 170.9 seconds
Name: Thaddäus-Robl-Straße, Instruction: Keep right onto Thaddäus-Robl-Straße, Distance: 26.4 meters, Time: 19.0 seconds
Name: Lerchenauer Straße, Instruction: Turn right onto Lerchenauer Straße, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn slight right, Distance: 47.9 meters, Time: 34.5 seconds
Name: Schittgablerstraße, Instruction: Turn right onto Schittgablerstraße, Distance: 444.8 meters, Time: 320.3 seconds
Name: Löwenzahnweg, Instruction: Keep right onto Löwenzahnweg, Distance: 43.5 meters, Time: 31.3 seconds
Name: Löwenzahnweg, Instruction: Turn right onto Löwenzahnweg, Distance: 4.4 meters, Time: 3.2 seconds
Name: Löwenzahnweg, Instruction: Turn slight left onto Löwenzahnweg, Distance: 57.0 meters, Time: 41.0 seconds
Name: Löwenzahnweg, Instruction: Turn slight left onto Löwenzahnweg, Distance: 3.3 meters, Time: 2.4 seconds
Name: Löwenzahnweg, Instruction: Turn slight left onto Löwenzahnweg, Distance: 16.2 meters, Time: 11.7 seconds
Name: Löwenzahnweg, Instruction: Turn right onto Löwenzahnweg, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Arrive at Löwenzahnweg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
