Name: Moccasin Trail, Instruction: Head southeast on Moccasin Trail, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 509.4 meters, Time: 366.8 seconds
Name: Seneca Hill Trail, Instruction: Turn left onto Seneca Hill Trail, Distance: 163.2 meters, Time: 117.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Keep right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn right, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Continue straight, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.8 seconds
Name: Ballymena Court, Instruction: Turn left onto Ballymena Court, Distance: 6.7 meters, Time: 4.8 seconds
Name: Barber Greene Road, Instruction: Turn right onto Barber Greene Road, Distance: 64.4 meters, Time: 46.4 seconds
Name: Overland Drive, Instruction: Turn sharp left onto Overland Drive, Distance: 92.3 meters, Time: 66.5 seconds
Name: Leaside Spur Trail, Instruction: Turn left onto Leaside Spur Trail, Distance: 6.9 meters, Time: 5.0 seconds
Name: Leaside Spur Trail, Instruction: Turn slight right onto Leaside Spur Trail, Distance: 7.7 meters, Time: 5.5 seconds
Name: Overland Trail, Instruction: Turn left onto Overland Trail, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight right, Distance: 142.3 meters, Time: 102.4 seconds
Name: -, Instruction: Turn right, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn left, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 271.9 meters, Time: 195.7 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
