Name: Preysingstraße, Instruction: Head west on Preysingstraße, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Keep right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn slight right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Keep left, Distance: 9.8 meters, Time: 7.1 seconds
Name: Rosenheimer Straße, Instruction: Turn slight right onto Rosenheimer Straße, Distance: 124.3 meters, Time: 89.5 seconds
Name: Zeppelinstraße, Instruction: Turn left onto Zeppelinstraße, Distance: 488.5 meters, Time: 351.7 seconds
Name: Zeppelinstraße, Instruction: Turn left onto Zeppelinstraße, Distance: 671.5 meters, Time: 483.4 seconds
Name: Entenbachstraße, Instruction: Keep left onto Entenbachstraße, Distance: 274.2 meters, Time: 197.4 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.8 seconds
Name: Kolumbusstraße, Instruction: Turn slight left onto Kolumbusstraße, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: Kolumbusstraße, Instruction: Turn left onto Kolumbusstraße, Distance: 121.2 meters, Time: 87.3 seconds
Name: Kolumbusplatz, Instruction: Turn right onto Kolumbusplatz, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Arrive at Kolumbusplatz, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
