Name: Station Road, Instruction: Head northwest on Station Road, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn left, Distance: 96.8 meters, Time: 69.7 seconds
Name: Claremont Avenue, Instruction: Turn right onto Claremont Avenue, Distance: 50.1 meters, Time: 36.1 seconds
Name: Consfield Avenue, Instruction: Turn left onto Consfield Avenue, Distance: 446.8 meters, Time: 321.7 seconds
Name: -, Instruction: Turn right, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn slight right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 98.4 meters, Time: 70.8 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.7 seconds
Name: -, Instruction: Turn slight left, Distance: 416.3 meters, Time: 299.8 seconds
Name: -, Instruction: Turn right, Distance: 789.4 meters, Time: 568.4 seconds
Name: Huntley Way, Instruction: Turn right onto Huntley Way, Distance: 5.4 meters, Time: 3.9 seconds
Name: Beverley Way, Instruction: Turn left onto Beverley Way, Distance: 246.4 meters, Time: 177.4 seconds
Name: Cambridge Avenue, Instruction: Turn sharp left onto Cambridge Avenue, Distance: 78.4 meters, Time: 56.4 seconds
Name: -, Instruction: Arrive at Cambridge Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
