Name: Sunnybrook Dog Park Service Road, Instruction: Head west on Sunnybrook Dog Park Service Road, Distance: 56.0 meters, Time: 40.3 seconds
Name: Lyndhurst Service Road, Instruction: Turn left onto Lyndhurst Service Road, Distance: 29.7 meters, Time: 21.4 seconds
Name: Lyndhurst Service Road, Instruction: Keep left onto Lyndhurst Service Road, Distance: 327.0 meters, Time: 235.5 seconds
Name: -, Instruction: Turn slight right, Distance: 236.6 meters, Time: 170.3 seconds
Name: Lyndhurst Service Road, Instruction: Turn slight left onto Lyndhurst Service Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 153.2 meters, Time: 110.3 seconds
Name: -, Instruction: Turn left, Distance: 839.3 meters, Time: 604.3 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
