Name: Rue des Marmousets, Instruction: Head south on Rue des Marmousets, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 156.9 meters, Time: 113.0 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Keep left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn slight right, Distance: 137.2 meters, Time: 98.8 seconds
Name: -, Instruction: Keep left, Distance: 154.3 meters, Time: 111.1 seconds
Name: -, Instruction: Turn slight left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rue Abel Hovelacque, Instruction: Turn right onto Rue Abel Hovelacque, Distance: 422.1 meters, Time: 303.9 seconds
Name: Rue Gérard, Instruction: Keep right onto Rue Gérard, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Keep left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight right, Distance: 179.3 meters, Time: 129.1 seconds
Name: -, Instruction: Turn slight left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Keep left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Keep right, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
