Name: Bathurst Street, Instruction: Head north on Bathurst Street, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight left, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 330.5 meters, Time: 238.0 seconds
Name: -, Instruction: Turn left, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: Niagara Street, Instruction: Turn left onto Niagara Street, Distance: 347.9 meters, Time: 250.5 seconds
Name: Niagara Street, Instruction: Keep right onto Niagara Street, Distance: 480.0 meters, Time: 345.6 seconds
Name: -, Instruction: Arrive at Niagara Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
