Name: Wallington Avenue, Instruction: Head east on Wallington Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 74.8 meters, Time: 53.8 seconds
Name: -, Instruction: Turn slight left, Distance: 173.9 meters, Time: 125.2 seconds
Name: -, Instruction: Keep right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Keep left, Distance: 78.8 meters, Time: 56.7 seconds
Name: -, Instruction: Keep right, Distance: 111.0 meters, Time: 79.9 seconds
Name: Lumsden Climb, Instruction: Keep left onto Lumsden Climb, Distance: 302.4 meters, Time: 217.7 seconds
Name: Taylor Creek Trail, Instruction: Turn right onto Taylor Creek Trail, Distance: 71.5 meters, Time: 51.5 seconds
Name: Taylor Creek Trail, Instruction: Keep right onto Taylor Creek Trail, Distance: 302.8 meters, Time: 218.0 seconds
Name: -, Instruction: Keep right, Distance: 65.2 meters, Time: 47.0 seconds
Name: -, Instruction: Turn left, Distance: 134.4 meters, Time: 96.8 seconds
Name: Park Vista, Instruction: Turn left onto Park Vista, Distance: 130.4 meters, Time: 93.9 seconds
Name: -, Instruction: Arrive at Park Vista, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
