Name: Nina Street, Instruction: Head west on Nina Street, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 340.8 meters, Time: 245.3 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 539.0 meters, Time: 388.1 seconds
Name: -, Instruction: Keep right, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 59.8 meters, Time: 43.1 seconds
Name: Tandy Murch Lane, Instruction: Turn right onto Tandy Murch Lane, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rossmore Road, Instruction: Turn left onto Rossmore Road, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 107.9 meters, Time: 77.7 seconds
Name: Olive Avenue, Instruction: Turn right onto Olive Avenue, Distance: 95.7 meters, Time: 68.9 seconds
Name: Palmerston Avenue, Instruction: Turn left onto Palmerston Avenue, Distance: 99.8 meters, Time: 71.9 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 151.2 meters, Time: 108.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
