Name: Davies Street, Instruction: Head south on Davies Street, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 989.9 meters, Time: 712.7 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 384.7 meters, Time: 277.0 seconds
Name: -, Instruction: Turn right, Distance: 454.8 meters, Time: 327.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 75.1 meters, Time: 54.1 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: Louis Street, Instruction: Turn right onto Louis Street, Distance: 331.1 meters, Time: 238.4 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
