Name: West Lodge Avenue, Instruction: Head south on West Lodge Avenue, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Keep left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight left, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Keep right, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Keep left, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Cowan Avenue, Instruction: Turn right onto Cowan Avenue, Distance: 141.7 meters, Time: 102.0 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 141.8 meters, Time: 102.1 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 53.0 meters, Time: 38.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
