Name: Milkman's Lane, Instruction: Head southwest on Milkman's Lane, Distance: 369.9 meters, Time: 266.3 seconds
Name: South Drive, Instruction: Turn sharp left onto South Drive, Distance: 194.6 meters, Time: 140.1 seconds
Name: Elm Avenue, Instruction: Turn sharp left onto Elm Avenue, Distance: 149.4 meters, Time: 107.6 seconds
Name: Nanton Avenue, Instruction: Turn right onto Nanton Avenue, Distance: 247.2 meters, Time: 178.0 seconds
Name: Dale Avenue, Instruction: Turn left onto Dale Avenue, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 323.5 meters, Time: 232.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 736.7 meters, Time: 530.4 seconds
Name: -, Instruction: Turn slight left, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 180.4 meters, Time: 129.9 seconds
Name: -, Instruction: Turn left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Ellerbeck Street, Instruction: Turn left onto Ellerbeck Street, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Arrive at Ellerbeck Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
