Name: OD05, Instruction: Head south on OD05, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn slight left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn slight left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Theatinerstraße, Instruction: Turn right onto Theatinerstraße, Distance: 298.1 meters, Time: 214.6 seconds
Name: Theatinerstraße, Instruction: Keep right onto Theatinerstraße, Distance: 270.5 meters, Time: 194.7 seconds
Name: Marienplatz, Instruction: Continue straight onto Marienplatz, Distance: 33.3 meters, Time: 24.0 seconds
Name: Rosenstraße, Instruction: Turn slight right onto Rosenstraße, Distance: 127.7 meters, Time: 91.9 seconds
Name: Rindermarkt, Instruction: Turn right onto Rindermarkt, Distance: 25.0 meters, Time: 18.0 seconds
Name: Sendlinger Straße, Instruction: Keep left onto Sendlinger Straße, Distance: 145.0 meters, Time: 104.4 seconds
Name: -, Instruction: Arrive at Sendlinger Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
