Name: شارع عمرو بن العاص, Instruction: Head north on شارع عمرو بن العاص, Distance: 214.8 meters, Time: 154.7 seconds
Name: -, Instruction: Turn left, Distance: 82.4 meters, Time: 59.3 seconds
Name: شارع حسان بن ثابت, Instruction: Turn left onto شارع حسان بن ثابت, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: شارع حسان بن ثابت, Instruction: Turn sharp left onto شارع حسان بن ثابت, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 82.7 meters, Time: 59.5 seconds
Name: شارع توفيق الحكيم, Instruction: Turn left onto شارع توفيق الحكيم, Distance: 481.3 meters, Time: 346.6 seconds
Name: شارع محمود تيمور, Instruction: Turn left onto شارع محمود تيمور, Distance: 83.3 meters, Time: 60.0 seconds
Name: محور طه حسين الجانبى, Instruction: Turn left onto محور طه حسين الجانبى, Distance: 107.2 meters, Time: 77.2 seconds
Name: شارع خالد بن الوليد, Instruction: Turn sharp right onto شارع خالد بن الوليد, Distance: 38.9 meters, Time: 28.0 seconds
Name: محور طه حسين, Instruction: Turn slight right onto محور طه حسين, Distance: 155.5 meters, Time: 112.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 27.7 meters, Time: 20.0 seconds
Name: محور طه حسين, Instruction: Turn right onto محور طه حسين, Distance: 132.8 meters, Time: 95.6 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: محور طه حسين الجانبى, Instruction: Turn left onto محور طه حسين الجانبى, Distance: 64.5 meters, Time: 46.4 seconds
Name: محور طه حسين الجانبى, Instruction: Continue straight onto محور طه حسين الجانبى, Distance: 84.8 meters, Time: 61.1 seconds
Name: شارع طومان باي, Instruction: Turn sharp right onto شارع طومان باي, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: شارع سيد مكاوي, Instruction: Turn right onto شارع سيد مكاوي, Distance: 32.6 meters, Time: 23.5 seconds
Name: شارع محمد توفيق الطويل, Instruction: Turn left onto شارع محمد توفيق الطويل, Distance: 215.9 meters, Time: 155.5 seconds
Name: -, Instruction: Arrive at شارع محمد توفيق الطويل, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
