Name: Trevose Crescent, Instruction: Head northwest on Trevose Crescent, Distance: 356.9 meters, Time: 256.9 seconds
Name: Camborne Road, Instruction: Turn left onto Camborne Road, Distance: 440.9 meters, Time: 317.4 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: Kheam Hock Road, Instruction: Turn left onto Kheam Hock Road, Distance: 2.8 meters, Time: 2.0 seconds
Name: Jalan Tempua, Instruction: Turn right onto Jalan Tempua, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn slight right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 223.1 meters, Time: 160.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 82.4 meters, Time: 59.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 194.6 meters, Time: 140.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
