Name: Garmischer Straße, B 2R, Instruction: Head northeast on Garmischer Straße, B 2R, Distance: 89.1 meters, Time: 64.1 seconds
Name: Grüntenstraße, Instruction: Turn left onto Grüntenstraße, Distance: 78.5 meters, Time: 56.5 seconds
Name: Breitachstraße, Instruction: Turn right onto Breitachstraße, Distance: 178.0 meters, Time: 128.2 seconds
Name: Siegenburger Straße, Instruction: Turn left onto Siegenburger Straße, Distance: 315.4 meters, Time: 227.1 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 80.8 meters, Time: 58.2 seconds
Name: -, Instruction: Keep right, Distance: 110.1 meters, Time: 79.3 seconds
Name: -, Instruction: Turn right, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn left, Distance: 125.3 meters, Time: 90.2 seconds
Name: -, Instruction: Turn left, Distance: 42.2 meters, Time: 30.4 seconds
Name: Barmer Straße, Instruction: Turn left onto Barmer Straße, Distance: 5.4 meters, Time: 3.9 seconds
Name: Hans-Thonauer-Straße, Instruction: Turn right onto Hans-Thonauer-Straße, Distance: 140.7 meters, Time: 101.3 seconds
Name: -, Instruction: Turn right, Distance: 183.7 meters, Time: 132.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
