Name: Pittwater Road, Instruction: Head northeast on Pittwater Road, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn right, Distance: 154.8 meters, Time: 111.4 seconds
Name: -, Instruction: Turn right, Distance: 199.4 meters, Time: 143.5 seconds
Name: -, Instruction: Turn slight left, Distance: 139.0 meters, Time: 100.0 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 12.9 seconds
Name: Julius Avenue, Instruction: Turn left onto Julius Avenue, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
