Name: Boulevard de la Guyane, Instruction: Head north on Boulevard de la Guyane, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 454.7 meters, Time: 327.4 seconds
Name: -, Instruction: Turn right, Distance: 203.3 meters, Time: 146.4 seconds
Name: -, Instruction: Turn right, Distance: 70.7 meters, Time: 50.9 seconds
Name: -, Instruction: Keep right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: Avenue Daumesnil, Instruction: Turn left onto Avenue Daumesnil, Distance: 87.2 meters, Time: 62.8 seconds
Name: Route Brûlée, Instruction: Keep right onto Route Brûlée, Distance: 345.8 meters, Time: 248.9 seconds
Name: Route du Lac de Saint-Mandé, Instruction: Turn slight right onto Route du Lac de Saint-Mandé, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Arrive at Route du Lac de Saint-Mandé, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
