Name: South Tempe Street, Instruction: Head northwest on South Tempe Street, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 144.8 meters, Time: 104.3 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: East Union Place, Instruction: Turn left onto East Union Place, Distance: 6.2 meters, Time: 4.5 seconds
Name: South Sicily Street, Instruction: Turn right onto South Sicily Street, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 278.9 meters, Time: 200.8 seconds
Name: -, Instruction: Turn left, Distance: 46.6 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 235.3 meters, Time: 169.4 seconds
Name: -, Instruction: Turn right, Distance: 115.4 meters, Time: 83.1 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn right, Distance: 51.9 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn slight left, Distance: 6.5 meters, Time: 4.7 seconds
Name: East Layton Drive, Instruction: Turn right onto East Layton Drive, Distance: 6.9 meters, Time: 5.0 seconds
Name: East Layton Drive, Instruction: Keep left onto East Layton Drive, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
