Name: Robin Road, Instruction: Head northeast on Robin Road, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 242.1 meters, Time: 174.3 seconds
Name: Stevens Drive, Instruction: Turn right onto Stevens Drive, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Turn right, Distance: 178.7 meters, Time: 128.7 seconds
Name: -, Instruction: Turn left, Distance: 139.8 meters, Time: 100.7 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 57.3 meters, Time: 41.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 379.5 meters, Time: 273.3 seconds
Name: Dalvey Estate, Instruction: Turn right onto Dalvey Estate, Distance: 12.1 meters, Time: 8.7 seconds
Name: Bukit Timah Road, Instruction: Turn left onto Bukit Timah Road, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Keep left, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Turn slight left, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
