Name: John Prince's Street, Instruction: Head northwest on John Prince's Street, Distance: 58.3 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 90.2 meters, Time: 64.9 seconds
Name: -, Instruction: Turn right, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn slight right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight left, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Marylebone Lane, Instruction: Turn right onto Marylebone Lane, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 64.9 meters, Time: 46.8 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.8 seconds
Name: Duke Street, Instruction: Turn left onto Duke Street, Distance: 420.9 meters, Time: 303.0 seconds
Name: -, Instruction: Turn left, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 95.6 meters, Time: 68.8 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Keep left, Distance: 145.5 meters, Time: 104.7 seconds
Name: Archery Close, Instruction: Turn right onto Archery Close, Distance: 5.4 meters, Time: 3.9 seconds
Name: Connaught Street, Instruction: Turn right onto Connaught Street, Distance: 2.4 meters, Time: 1.7 seconds
Name: Porchester Place, Instruction: Turn sharp left onto Porchester Place, Distance: 175.1 meters, Time: 126.0 seconds
Name: Norfolk Crescent, Instruction: Continue straight onto Norfolk Crescent, Distance: 89.7 meters, Time: 64.6 seconds
Name: Cambridge Square, Instruction: Continue straight onto Cambridge Square, Distance: 31.6 meters, Time: 22.8 seconds
Name: Norfolk Crescent, Instruction: Continue straight onto Norfolk Crescent, Distance: 91.3 meters, Time: 65.7 seconds
Name: Norfolk Crescent, Instruction: Keep left onto Norfolk Crescent, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
