Name: Goerdelerstraße, Instruction: Head north on Goerdelerstraße, Distance: 119.3 meters, Time: 85.9 seconds
Name: Kapellenstraße, Instruction: Turn left onto Kapellenstraße, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 112.1 meters, Time: 80.7 seconds
Name: An der Hachinger Haid, Instruction: Turn left onto An der Hachinger Haid, Distance: 266.8 meters, Time: 192.1 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 72.2 meters, Time: 52.0 seconds
Name: Straßfeldweg, Instruction: Turn left onto Straßfeldweg, Distance: 172.0 meters, Time: 123.9 seconds
Name: Maxi-Besold-Weg, Instruction: Turn sharp right onto Maxi-Besold-Weg, Distance: 153.9 meters, Time: 110.8 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Keep left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 71.4 meters, Time: 51.4 seconds
Name: Am Sportpark, Instruction: Turn left onto Am Sportpark, Distance: 274.1 meters, Time: 197.3 seconds
Name: Am Sportpark, Instruction: Enter the roundabout and take the 1st exit onto Am Sportpark, Distance: 69.8 meters, Time: 50.2 seconds
Name: Am Sportpark, Instruction: Turn slight left onto Am Sportpark, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Keep left, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Keep left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
