Name: Bibliothèque François Mitterrand, Instruction: Head southwest on Bibliothèque François Mitterrand, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Keep left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Rue du Chevaleret, Instruction: Turn right onto Rue du Chevaleret, Distance: 768.1 meters, Time: 553.0 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Keep right, Distance: 148.9 meters, Time: 107.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Keep right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 100.2 meters, Time: 72.2 seconds
Name: -, Instruction: Keep left, Distance: 115.1 meters, Time: 82.9 seconds
Name: -, Instruction: Turn slight right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight right, Distance: 250.3 meters, Time: 180.2 seconds
Name: Avenue Stephen Pichon, Instruction: Turn left onto Avenue Stephen Pichon, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Fagon, Instruction: Enter the roundabout and take the 1st exit onto Rue Fagon, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight right, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Place d'Italie, Instruction: Turn right onto Place d'Italie, Distance: 137.3 meters, Time: 98.9 seconds
Name: Place d'Italie, Instruction: Keep right onto Place d'Italie, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Turn slight right, Distance: 103.9 meters, Time: 74.8 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
