Name: Schmedererweg, Instruction: Head north on Schmedererweg, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn slight right, Distance: 48.4 meters, Time: 34.9 seconds
Name: Ohlmüllerstraße, Instruction: Turn left onto Ohlmüllerstraße, Distance: 101.9 meters, Time: 73.3 seconds
Name: Ohlmüllerstraße, Instruction: Keep right onto Ohlmüllerstraße, Distance: 229.9 meters, Time: 165.5 seconds
Name: Mariahilfplatz, Instruction: Turn right onto Mariahilfplatz, Distance: 352.0 meters, Time: 253.4 seconds
Name: Lilienstraße, Instruction: Turn right onto Lilienstraße, Distance: 603.2 meters, Time: 434.3 seconds
Name: Lilienstraße, Instruction: Continue straight onto Lilienstraße, Distance: 32.2 meters, Time: 23.2 seconds
Name: Rosenheimer Straße, Instruction: Continue straight onto Rosenheimer Straße, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Rosenheimer Straße, Instruction: Turn left onto Rosenheimer Straße, Distance: 89.3 meters, Time: 64.3 seconds
Name: Auf der Insel, Instruction: Turn right onto Auf der Insel, Distance: 192.1 meters, Time: 138.3 seconds
Name: Auf der Insel, Instruction: Turn right onto Auf der Insel, Distance: 204.3 meters, Time: 147.1 seconds
Name: -, Instruction: Turn left, Distance: 64.1 meters, Time: 46.1 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: Mariannenplatz, Instruction: Turn left onto Mariannenplatz, Distance: 60.8 meters, Time: 43.7 seconds
Name: -, Instruction: Arrive at Mariannenplatz, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
