Name: شارع مصطفى النحاس, Instruction: Head south on شارع مصطفى النحاس, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 57.6 meters, Time: 41.4 seconds
Name: شارع احمد عرابى, Instruction: Turn right onto شارع احمد عرابى, Distance: 46.2 meters, Time: 33.3 seconds
Name: شارع عدلى يكن, Instruction: Turn left onto شارع عدلى يكن, Distance: 111.4 meters, Time: 80.2 seconds
Name: شارع واصف غالى, Instruction: Turn left onto شارع واصف غالى, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 59.4 meters, Time: 42.7 seconds
Name: شارع 26 يوليو, Instruction: Turn left onto شارع 26 يوليو, Distance: 14.7 meters, Time: 10.6 seconds
Name: شارع نبويه موسى, Instruction: Turn right onto شارع نبويه موسى, Distance: 99.9 meters, Time: 71.9 seconds
Name: شارع احمد عرابى, Instruction: Turn left onto شارع احمد عرابى, Distance: 293.2 meters, Time: 211.1 seconds
Name: شارع شمس بدران, Instruction: Turn left onto شارع شمس بدران, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 58.7 meters, Time: 42.3 seconds
Name: شارع مكرم عبيد, Instruction: Turn right onto شارع مكرم عبيد, Distance: 130.6 meters, Time: 94.1 seconds
Name: شارع مصطفى كامل, Instruction: Turn left onto شارع مصطفى كامل, Distance: 13.2 meters, Time: 9.5 seconds
Name: شارع مكرم عبيد, Instruction: Turn right onto شارع مكرم عبيد, Distance: 12.8 meters, Time: 9.2 seconds
Name: شارع مصطفى كامل, Instruction: Turn left onto شارع مصطفى كامل, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 48.0 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 51.2 meters, Time: 36.8 seconds
Name: -, Instruction: Turn left, Distance: 80.5 meters, Time: 58.0 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn right, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
