Name: Wentworth Street, Instruction: Head northwest on Wentworth Street, Distance: 60.6 meters, Time: 43.7 seconds
Name: Denman Lane, Instruction: Turn left onto Denman Lane, Distance: 147.7 meters, Time: 106.3 seconds
Name: Broughton Street, Instruction: Turn right onto Broughton Street, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 205.2 meters, Time: 147.7 seconds
Name: Campbell Lane, Instruction: Turn right onto Campbell Lane, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn slight right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Turn left, Distance: 99.9 meters, Time: 71.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
