Name: Hazel Road, Instruction: Head north on Hazel Road, Distance: 248.5 meters, Time: 178.9 seconds
Name: Balu Parker Boulevard, Instruction: Turn right onto Balu Parker Boulevard, Distance: 334.8 meters, Time: 241.1 seconds
Name: Yusuf Gool Boulevard, Instruction: Turn left onto Yusuf Gool Boulevard, Distance: 245.5 meters, Time: 176.7 seconds
Name: Klipfontein Service Road, Instruction: Turn right onto Klipfontein Service Road, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn slight right, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Keep left, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 207.2 meters, Time: 149.2 seconds
Name: -, Instruction: Keep left, Distance: 58.7 meters, Time: 42.2 seconds
Name: Calcium Road, Instruction: Turn right onto Calcium Road, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Arrive at Calcium Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
