Name: Clinton Street, Instruction: Head south on Clinton Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 208.1 meters, Time: 149.8 seconds
Name: Euclid Avenue, Instruction: Turn right onto Euclid Avenue, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn right, Distance: 193.4 meters, Time: 139.3 seconds
Name: -, Instruction: Turn left, Distance: 152.9 meters, Time: 110.1 seconds
Name: Markham Street, Instruction: Turn right onto Markham Street, Distance: 191.6 meters, Time: 137.9 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 329.6 meters, Time: 237.3 seconds
Name: -, Instruction: Turn right, Distance: 103.5 meters, Time: 74.5 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Denison Avenue, Instruction: Turn right onto Denison Avenue, Distance: 6.7 meters, Time: 4.9 seconds
Name: Grange Avenue, Instruction: Turn left onto Grange Avenue, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Turn slight right, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Augusta Avenue, Instruction: Turn right onto Augusta Avenue, Distance: 22.4 meters, Time: 16.2 seconds
Name: Paul Lane Gardens, Instruction: Turn left onto Paul Lane Gardens, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
