Name: Maxhofweg, Instruction: Head southeast on Maxhofweg, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 212.9 meters, Time: 153.3 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 340.8 meters, Time: 245.4 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 389.2 meters, Time: 280.2 seconds
Name: -, Instruction: Turn slight left, Distance: 302.1 meters, Time: 217.5 seconds
Name: -, Instruction: Keep left, Distance: 165.5 meters, Time: 119.2 seconds
Name: Uriweg, Instruction: Keep left onto Uriweg, Distance: 747.8 meters, Time: 538.4 seconds
Name: Basler Straße, Instruction: Turn right onto Basler Straße, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Arrive at Basler Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
