Name: Dorothy Street, Instruction: Head south on Dorothy Street, Distance: 252.3 meters, Time: 181.6 seconds
Name: -, Instruction: Turn left, Distance: 227.7 meters, Time: 164.0 seconds
Name: Warra Street, Instruction: Turn right onto Warra Street, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.8 seconds
Name: Strickland Place, Instruction: Turn right onto Strickland Place, Distance: 141.1 meters, Time: 101.6 seconds
Name: -, Instruction: Turn right, Distance: 96.4 meters, Time: 69.4 seconds
Name: Bourne Street, Instruction: Turn slight right onto Bourne Street, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn left, Distance: 165.4 meters, Time: 119.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 228.4 meters, Time: 164.5 seconds
Name: -, Instruction: Turn right, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: Station Street, Instruction: Turn right onto Station Street, Distance: 362.8 meters, Time: 261.2 seconds
Name: -, Instruction: Arrive at Station Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
