Name: Bridge Street, Instruction: Head southeast on Bridge Street, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 298.2 meters, Time: 214.7 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 138.1 meters, Time: 99.4 seconds
Name: -, Instruction: Keep left, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Keep right, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 702.1 meters, Time: 505.5 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: Victoria Road, Instruction: Turn right onto Victoria Road, Distance: 3.8 meters, Time: 2.7 seconds
Name: Victoria Road, Instruction: Turn left onto Victoria Road, Distance: 606.2 meters, Time: 436.5 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
