Name: Gul Crescent, Instruction: Head east on Gul Crescent, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Keep left, Distance: 273.1 meters, Time: 196.6 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Gul Lane, Instruction: Turn left onto Gul Lane, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 198.5 meters, Time: 142.9 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Gul Circle, Instruction: Turn left onto Gul Circle, Distance: 267.3 meters, Time: 192.4 seconds
Name: Gul Drive, Instruction: Turn right onto Gul Drive, Distance: 493.1 meters, Time: 355.0 seconds
Name: Gul Street 3, Instruction: Turn left onto Gul Street 3, Distance: 74.8 meters, Time: 53.8 seconds
Name: -, Instruction: Turn right, Distance: 208.6 meters, Time: 150.2 seconds
Name: Gul Street 1, Instruction: Turn left onto Gul Street 1, Distance: 68.1 meters, Time: 49.1 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
