Name: Boulevard Saint-Jacques, Instruction: Head northwest on Boulevard Saint-Jacques, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn slight left, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 705.9 meters, Time: 508.3 seconds
Name: -, Instruction: Turn left, Distance: 303.8 meters, Time: 218.7 seconds
Name: Place de Catalogne, Instruction: Turn right onto Place de Catalogne, Distance: 46.2 meters, Time: 33.2 seconds
Name: Place de Catalogne, Instruction: Turn slight left onto Place de Catalogne, Distance: 46.8 meters, Time: 33.7 seconds
Name: Rue du Château, Instruction: Turn right onto Rue du Château, Distance: 142.6 meters, Time: 102.7 seconds
Name: Place des Cinq Martyrs du Lycée Buffon, Instruction: Continue straight onto Place des Cinq Martyrs du Lycée Buffon, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Keep right, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
