Name: Parvis du Sacré-Cœur, Instruction: Head northeast on Parvis du Sacré-Cœur, Distance: 75.7 meters, Time: 54.5 seconds
Name: Rue Maurice Utrillo, Instruction: Turn slight right onto Rue Maurice Utrillo, Distance: 31.4 meters, Time: 22.6 seconds
Name: Rue Maurice Utrillo, Instruction: Turn slight left onto Rue Maurice Utrillo, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 127.5 meters, Time: 91.8 seconds
Name: -, Instruction: Turn slight right, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: Place Jeanne Bohec, Instruction: Turn left onto Place Jeanne Bohec, Distance: 3.7 meters, Time: 2.7 seconds
Name: Rue Christiani, Instruction: Keep right onto Rue Christiani, Distance: 162.5 meters, Time: 117.0 seconds
Name: Rue des Poissonniers, Instruction: Turn left onto Rue des Poissonniers, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 205.9 meters, Time: 148.2 seconds
Name: -, Instruction: Turn right, Distance: 201.1 meters, Time: 144.8 seconds
Name: Rue Pierre l'Ermite, Instruction: Turn right onto Rue Pierre l'Ermite, Distance: 3.8 meters, Time: 2.8 seconds
Name: Rue de Jessaint, Instruction: Turn left onto Rue de Jessaint, Distance: 280.9 meters, Time: 202.3 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Place de la Chapelle, Instruction: Turn right onto Place de la Chapelle, Distance: 7.3 meters, Time: 5.2 seconds
Name: Rue Louis Blanc, Instruction: Keep left onto Rue Louis Blanc, Distance: 221.5 meters, Time: 159.5 seconds
Name: Rue Louis Blanc, Instruction: Continue straight onto Rue Louis Blanc, Distance: 167.4 meters, Time: 120.5 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 128.4 meters, Time: 92.4 seconds
Name: -, Instruction: Turn slight left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Keep right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 169.8 meters, Time: 122.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Keep left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep left, Distance: 144.5 meters, Time: 104.1 seconds
Name: -, Instruction: Keep right, Distance: 53.8 meters, Time: 38.8 seconds
Name: Rue Francis Jammes, Instruction: Continue straight onto Rue Francis Jammes, Distance: 36.3 meters, Time: 26.1 seconds
Name: Rue Francis Jammes, Instruction: Keep left onto Rue Francis Jammes, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
