Name: شارع دكتور علي مشرفة, Instruction: Head northeast on شارع دكتور علي مشرفة, Distance: 154.4 meters, Time: 111.2 seconds
Name: -, Instruction: Turn left, Distance: 81.1 meters, Time: 58.4 seconds
Name: شارع على شعراوى, Instruction: Turn left onto شارع على شعراوى, Distance: 485.7 meters, Time: 349.7 seconds
Name: شارع محمد حسن سعد, Instruction: Turn left onto شارع محمد حسن سعد, Distance: 51.0 meters, Time: 36.7 seconds
Name: شارع محمد حسن سعد, Instruction: Keep right onto شارع محمد حسن سعد, Distance: 45.5 meters, Time: 32.7 seconds
Name: شارع المشير احمد اسماعيل, Instruction: Turn slight right onto شارع المشير احمد اسماعيل, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 252.2 meters, Time: 181.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: شارع الحسن بن الهيثم, Instruction: Turn left onto شارع الحسن بن الهيثم, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Arrive at شارع الحسن بن الهيثم, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
